Accord;Notes;Description
C#aug7;"C# - F - A - B ; C# - E# - A - B";C# augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
Db;Db - F - Ab;Db majeur, est compose d'une tierce majeure et d'une quinte juste
Dbm;"Db - E - Ab ; Db - Fb - Ab";Db mineur, est compose d'une tierce mineure et d'une quinte juste
Db7;Db - F - Ab - B;Db 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Dbm7;"Db - E - Ab - B ; Db - Fb - Ab - Cb";Db mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
DbMaj7;Db - F - Ab - C;Db mineur, est compose d'une tierce mineure et d'une quinte juste
DbmM7;"Db - E - Ab - C ; Db - Fb - Ab - C";Db mineur, est compose d'une tierce mineure et d'une quinte juste
Db6;Db - F - Ab - Bb;Db sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Dbm6;"Db - E - Ab - Bb ; Db - Fb - Ab - Bb";Db mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
Db6/9;Db - F - Ab - Bb - Eb;Db sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
Db5;Db -  Ab;Db quinte juste, est compose uniquement de la fondamentale et de la quinte juste
Db9;Db - F - Ab - B - Eb;Db majeur, est compose d'une tierce majeure et d'une quinte juste
Dbm9;"Db - E - Ab - B - Eb ; Db - Fb - Ab - Cb - Eb";Db mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
DbMaj9;Db - F - Ab - C - Eb;Db mineur, est compose d'une tierce mineure et d'une quinte juste
Db11;Db - F - Ab - B - Eb - Gb;Db majeur, est compose d'une tierce majeure et d'une quinte juste
Dbm11;"Db - E - Ab - B - Eb - Gb ; Db - Fb - Ab - Cb - Eb - Gb";Db mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
DbMaj11;Db - F - Ab - C - Eb -  Gb;Db mineur, est compose d'une tierce mineure et d'une quinte juste
Db13;"Db - F - Ab - B - Eb - Gb - Bb ; Db - F - Ab - B - Eb - Gb - Cbb";Db majeur, est compose d'une tierce majeure et d'une quinte juste
Dbm13;"Db - E - Ab - B - Eb - Gb - Bb ; Db - Fb - Ab - Cb - Eb - Gb - Bb";Db mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
DbMaj13;Db - F - Ab - C - Eb -  Bb;Db mineur, est compose d'une tierce mineure et d'une quinte juste
Dbadd;Db - F - Ab - Eb;Db add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
Db7-5;Db - F - G - B;Db septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
Db7+5;Db - F - A - B;Db septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
